T_min,T_avg,T_max,Angle
-4.60,-4.48,-4.35,-19.19
-4.55,-4.44,-4.32,-17.16
-4.49,-4.37,-4.25,-16.80
-4.28,-4.20,-4.11,-16.21
-4.20,-4.07,-3.93,-15.82
-3.88,-3.80,-3.72,-15.26
-3.71,-3.62,-3.53,-14.17
-3.52,-3.43,-3.33,-13.29
-3.30,-3.20,-3.10,-12.75
-3.00,-2.92,-2.84,-12.22
-2.93,-2.81,-2.69,-11.31
-2.63,-2.58,-2.52,-10.40
-2.54,-2.40,-2.25,-9.55
-2.30,-2.23,-2.15,-8.88
-2.13,-2.05,-1.97,-8.04
-1.87,-1.75,-1.62,-7.03
-1.66,-1.52,-1.37,-5.96
-1.44,-1.36,-1.27,-5.12
-1.29,-1.21,-1.12,-4.52
-0.96,-0.83,-0.69,-3.41
-0.79,-0.71,-0.62,-2.66
-0.63,-0.47,-0.31,-1.87
-0.06,-0.04,-0.01,-0.66
0.00,0.00,0.00,0.00
0.30,0.40,0.50,0.72
0.33,0.44,0.54,1.88
0.42,0.60,0.77,3.04
0.77,0.91,1.04,4.02
1.08,1.16,1.24,4.77
1.27,1.35,1.42,5.39
1.37,1.49,1.60,6.14
1.65,1.76,1.86,7.48
1.86,1.96,2.06,8.24
2.12,2.19,2.25,8.95
2.34,2.47,2.59,9.95
2.48,2.56,2.63,11.41
2.78,2.82,2.85,11.88
2.90,3.01,3.12,12.31
3.22,3.30,3.37,12.79
3.37,3.44,3.50,13.69
3.49,3.63,3.77,14.95
3.75,3.84,3.93,15.51
3.98,4.08,4.18,16.10
4.15,4.23,4.31,16.53
4.35,4.49,4.63,19.90
4.47,4.59,4.70,20.08
4.51,4.62,4.73,20.20
