T_min,T_avg,T_max,Angle
-2.94,-2.78,-2.62,-21.50
-2.89,-2.74,-2.59,-18.91
-2.83,-2.77,-2.70,-18.20
-2.75,-2.64,-2.53,-17.64
-2.60,-2.52,-2.44,-17.11
-2.52,-2.38,-2.24,-16.44
-2.38,-2.27,-2.15,-15.18
-2.24,-2.12,-1.99,-14.35
-2.23,-2.15,-2.06,-13.94
-2.02,-1.97,-1.92,-13.42
-1.94,-1.87,-1.80,-12.66
-1.84,-1.77,-1.69,-11.44
-1.75,-1.60,-1.45,-10.76
-1.58,-1.44,-1.30,-10.10
-1.46,-1.37,-1.28,-9.35
-1.37,-1.23,-1.09,-8.52
-1.31,-1.15,-0.98,-7.16
-1.11,-0.95,-0.79,-6.48
-1.09,-0.90,-0.70,-5.83
-0.90,-0.77,-0.63,-5.16
-0.79,-0.73,-0.66,-4.34
-0.77,-0.63,-0.49,-3.67
-0.55,-0.38,-0.21,-3.14
-0.43,-0.27,-0.10,-2.65
-0.16,-0.11,-0.05,-0.19
-0.08,-0.03,0.02,-0.10
0.00,0.00,0.00,0.00
-0.11,-0.03,0.06,0.96
-0.01,0.02,0.04,1.71
0.10,0.30,0.49,3.21
0.38,0.51,0.64,4.55
0.49,0.58,0.67,4.83
0.58,0.66,0.74,5.44
0.66,0.79,0.91,6.16
0.71,0.83,0.95,7.37
0.80,0.95,1.09,8.14
1.00,1.12,1.23,8.97
1.14,1.28,1.41,9.30
1.32,1.39,1.46,10.28
1.39,1.47,1.54,11.79
1.46,1.62,1.77,12.46
1.56,1.67,1.77,12.81
1.79,1.87,1.94,13.21
1.94,2.01,2.08,13.68
1.95,2.05,2.14,14.61
2.06,2.16,2.25,15.91
2.09,2.22,2.34,16.39
2.23,2.33,2.42,16.85
2.42,2.51,2.60,17.16
2.42,2.55,2.68,17.62
2.55,2.68,2.80,20.90
2.61,2.75,2.88,21.61
