ang_rot_mes_mech,ang_rot_mes_elec,Tavg_mes [Nm],Tmin_mes [Nm],Tmax_mes [Nm],iU_mes [A],iV_mes [A],iW_mes [A],ia [A],ib [A],i0 [A],id [A],id_comp [A],iq [A],iq_comp [A],Torque_50Hz_Cu [Nm],Torque_100Hz_Cu [Nm],Torque_50Hz_Al [Nm],Torque_100Hz_Al [Nm]
20.20,40.41,4.62,4.51,4.73,20.82,-10.14,-10.40,20.72,0.30,0.10,15.97,16.07,-13.20,-13.50,5.13,5.02,5.01,4.89
20.08,40.16,4.59,4.47,4.70,20.82,-10.14,-10.40,20.72,0.30,0.10,16.03,16.13,-13.13,-13.43,5.13,5.01,5.00,4.88
19.90,39.79,4.49,4.35,4.63,20.82,-10.14,-10.40,20.72,0.30,0.10,16.11,16.21,-13.03,-13.33,5.11,5.00,4.99,4.87
16.53,33.05,4.23,4.15,4.31,20.82,-10.14,-10.40,20.72,0.30,0.10,17.53,17.63,-11.05,-11.35,4.73,4.63,4.62,4.51
16.10,32.21,4.08,3.98,4.18,20.82,-10.14,-10.40,20.72,0.30,0.10,17.69,17.79,-10.79,-11.09,4.67,4.57,4.55,4.44
15.51,31.01,3.84,3.75,3.93,20.82,-10.14,-10.40,20.72,0.30,0.10,17.91,18.01,-10.42,-10.72,4.57,4.47,4.45,4.35
14.95,29.89,3.63,3.49,3.77,20.82,-10.14,-10.40,20.72,0.30,0.10,18.11,18.21,-10.07,-10.37,4.47,4.37,4.36,4.25
13.69,27.37,3.44,3.37,3.50,20.82,-10.14,-10.40,20.72,0.30,0.10,18.54,18.63,-9.26,-9.56,4.22,4.12,4.11,4.01
12.79,25.59,3.30,3.22,3.37,20.82,-10.14,-10.40,20.72,0.30,0.10,18.82,18.91,-8.68,-8.98,4.02,3.93,3.92,3.83
12.31,24.63,3.01,2.90,3.12,20.82,-10.14,-10.40,20.72,0.30,0.10,18.96,19.06,-8.36,-8.66,3.91,3.82,3.81,3.72
11.88,23.75,2.82,2.78,2.85,20.82,-10.14,-10.40,20.72,0.30,0.10,19.09,19.18,-8.07,-8.37,3.80,3.72,3.71,3.62
11.41,22.82,2.56,2.48,2.63,20.82,-10.14,-10.40,20.72,0.30,0.10,19.22,19.31,-7.76,-8.06,3.68,3.60,3.59,3.51
9.95,19.90,2.47,2.34,2.59,20.82,-10.14,-10.40,20.72,0.30,0.10,19.59,19.68,-6.77,-7.07,3.29,3.22,3.21,3.13
8.95,17.90,2.19,2.12,2.25,20.82,-10.14,-10.40,20.72,0.30,0.10,19.81,19.91,-6.08,-6.38,3.01,2.94,2.93,2.86
8.24,16.48,1.96,1.86,2.06,20.82,-10.14,-10.40,20.72,0.30,0.10,19.96,20.05,-5.59,-5.89,2.79,2.73,2.73,2.66
7.48,14.95,1.76,1.65,1.86,20.82,-10.14,-10.40,20.72,0.30,0.10,20.10,20.19,-5.05,-5.36,2.56,2.50,2.50,2.44
6.14,12.29,1.49,1.37,1.60,20.82,-10.14,-10.40,20.72,0.30,0.10,20.31,20.41,-4.12,-4.42,2.13,2.09,2.08,2.03
5.39,10.79,1.35,1.27,1.42,20.82,-10.14,-10.40,20.72,0.30,0.10,20.41,20.51,-3.58,-3.88,1.88,1.84,1.84,1.79
4.77,9.55,1.16,1.08,1.24,20.82,-10.14,-10.40,20.72,0.30,0.10,20.48,20.58,-3.14,-3.44,1.68,1.64,1.63,1.59
4.02,8.05,0.91,0.77,1.04,20.82,-10.14,-10.40,20.72,0.30,0.10,20.56,20.65,-2.60,-2.90,1.42,1.39,1.38,1.35
3.04,6.09,0.60,0.42,0.77,20.82,-10.14,-10.40,20.72,0.30,0.10,20.64,20.73,-1.90,-2.20,1.08,1.06,1.05,1.03
1.88,3.76,0.44,0.33,0.54,20.82,-10.14,-10.40,20.72,0.30,0.10,20.70,20.79,-1.06,-1.36,0.67,0.65,0.65,0.64
0.72,1.45,0.40,0.30,0.50,20.82,-10.14,-10.40,20.72,0.30,0.10,20.72,20.82,-0.22,-0.52,0.26,0.25,0.25,0.25
0.00,0.00,0.00,0.00,0.00,20.82,-10.14,-10.40,20.72,0.30,0.10,20.72,20.82,0.30,0.00,0.00,0.00,0.00,0.00
-0.66,-1.31,-0.04,-0.06,-0.01,20.82,-10.14,-10.40,20.72,0.30,0.10,20.71,20.80,0.78,0.47,-0.23,-0.23,-0.23,-0.22
-1.87,-3.74,-0.47,-0.63,-0.31,20.82,-10.14,-10.40,20.72,0.30,0.10,20.66,20.75,1.65,1.35,-0.66,-0.65,-0.65,-0.63
-2.66,-5.32,-0.705,-0.79,-0.62,20.82,-10.14,-10.40,20.72,0.30,0.10,20.60,20.70,2.22,1.92,-0.94,-0.92,-0.92,-0.90
-3.41,-6.83,-0.825,-0.96,-0.69,20.82,-10.14,-10.40,20.72,0.30,0.10,20.54,20.63,2.76,2.46,-1.20,-1.18,-1.17,-1.14
-4.52,-9.04,-1.205,-1.29,-1.12,20.82,-10.14,-10.40,20.72,0.30,0.10,20.42,20.51,3.55,3.25,-1.58,-1.54,-1.54,-1.50
-5.12,-10.24,-1.355,-1.44,-1.27,20.82,-10.14,-10.40,20.72,0.30,0.10,20.34,20.43,3.98,3.68,-1.78,-1.74,-1.73,-1.69
-5.96,-11.92,-1.515,-1.66,-1.37,20.82,-10.14,-10.40,20.72,0.30,0.10,20.21,20.31,4.57,4.27,-2.05,-2.01,-2.00,-1.95
-7.03,-14.07,-1.745,-1.87,-1.62,20.82,-10.14,-10.40,20.72,0.30,0.10,20.03,20.12,5.33,5.03,-2.39,-2.34,-2.33,-2.28
-8.04,-16.08,-2.05,-2.13,-1.97,20.82,-10.14,-10.40,20.72,0.30,0.10,19.83,19.92,6.03,5.73,-2.70,-2.64,-2.63,-2.57
-8.88,-17.76,-2.225,-2.3,-2.15,20.82,-10.14,-10.40,20.72,0.30,0.10,19.64,19.74,6.61,6.31,-2.94,-2.88,-2.87,-2.80
-9.55,-19.10,-2.395,-2.54,-2.25,20.82,-10.14,-10.40,20.72,0.30,0.10,19.48,19.58,7.06,6.76,-3.13,-3.06,-3.06,-2.98
-10.40,-20.80,-2.575,-2.63,-2.52,20.82,-10.14,-10.40,20.72,0.30,0.10,19.26,19.36,7.64,7.34,-3.36,-3.29,-3.28,-3.20
-11.31,-22.62,-2.81,-2.93,-2.69,20.82,-10.14,-10.40,20.72,0.30,0.10,19.01,19.11,8.25,7.95,-3.59,-3.51,-3.50,-3.42
-12.22,-24.44,-2.92,-3,-2.84,20.82,-10.14,-10.40,20.72,0.30,0.10,18.74,18.83,8.85,8.55,-3.81,-3.73,-3.71,-3.63
-12.75,-25.49,-3.2,-3.3,-3.1,20.82,-10.14,-10.40,20.72,0.30,0.10,18.57,18.67,9.19,8.89,-3.93,-3.84,-3.83,-3.74
-13.29,-26.58,-3.425,-3.52,-3.33,20.82,-10.14,-10.40,20.72,0.30,0.10,18.40,18.49,9.54,9.24,-4.04,-3.95,-3.94,-3.85
-14.17,-28.34,-3.62,-3.71,-3.53,20.82,-10.14,-10.40,20.72,0.30,0.10,18.10,18.19,10.10,9.80,-4.22,-4.13,-4.11,-4.02
-15.26,-30.52,-3.8,-3.88,-3.72,20.82,-10.14,-10.40,20.72,0.30,0.10,17.70,17.79,10.78,10.48,-4.41,-4.32,-4.30,-4.20
-15.82,-31.63,-4.065,-4.2,-3.93,20.82,-10.14,-10.40,20.72,0.30,0.10,17.48,17.58,11.12,10.82,-4.50,-4.40,-4.39,-4.29
-16.21,-32.41,-4.195,-4.28,-4.11,20.82,-10.14,-10.40,20.72,0.30,0.10,17.33,17.43,11.36,11.06,-4.56,-4.46,-4.45,-4.34
-16.80,-33.60,-4.37,-4.49,-4.25,20.82,-10.14,-10.40,20.72,0.30,0.10,17.09,17.19,11.72,11.42,-4.64,-4.54,-4.53,-4.42
-17.16,-34.33,-4.435,-4.55,-4.32,20.82,-10.14,-10.40,20.72,0.30,0.10,16.94,17.04,11.93,11.63,-4.69,-4.59,-4.57,-4.46
-19.19,-38.39,-4.475,-4.6,-4.35,20.82,-10.14,-10.40,20.72,0.30,0.10,16.05,16.15,13.10,12.80,-4.89,-4.79,-4.77,-4.66
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
