ang_rot_mes_mech,ang_rot_mes_elec,Tavg_mes [Nm],Tmin_mes [Nm],Tmax_mes [Nm],iU_mes [A],iV_mes [A],iW_mes [A],ia [A],ib [A],i0 [A],id [A],id_comp [A],iq [A],iq_comp [A],Torque_50Hz_Cu [Nm],Torque_100Hz_Cu [Nm],Torque_50Hz_Al [Nm],Torque_100Hz_Al [Nm]
19.70,39.41,9.01,8.87,9.14,30.52,-14.83,-15.38,30.42,0.64,0.10,23.90,24.01,-18.82,-19.45,11.05,10.81,10.78,10.52
19.18,38.36,8.77,8.68,8.86,30.52,-14.83,-15.38,30.42,0.64,0.10,24.24,24.35,-18.38,-19.01,10.95,10.71,10.68,10.43
16.53,33.05,8.49,8.38,8.59,30.52,-14.83,-15.38,30.42,0.64,0.10,25.84,25.94,-16.06,-16.69,10.25,10.02,9.99,9.76
15.76,31.53,7.95,7.80,8.10,30.52,-14.83,-15.38,30.42,0.64,0.10,26.26,26.36,-15.36,-16.00,9.98,9.76,9.73,9.50
15.33,30.66,7.54,7.32,7.76,30.52,-14.83,-15.38,30.42,0.64,0.10,26.49,26.59,-14.96,-15.60,9.81,9.60,9.57,9.34
14.86,29.72,7.15,6.98,7.32,30.52,-14.83,-15.38,30.42,0.64,0.10,26.73,26.83,-14.53,-15.16,9.63,9.42,9.39,9.17
14.35,28.69,6.72,6.57,6.87,30.52,-14.83,-15.38,30.42,0.64,0.10,26.99,27.09,-14.05,-14.68,9.41,9.20,9.18,8.96
13.37,26.73,6.34,6.24,6.45,30.52,-14.83,-15.38,30.42,0.64,0.10,27.45,27.55,-13.11,-13.75,8.96,8.77,8.74,8.53
12.33,24.67,5.97,5.87,6.07,30.52,-14.83,-15.38,30.42,0.64,0.10,27.90,28.01,-12.12,-12.75,8.45,8.27,8.24,8.05
11.72,23.44,5.53,5.43,5.62,30.52,-14.83,-15.38,30.42,0.64,0.10,28.16,28.26,-11.52,-12.15,8.13,7.95,7.92,7.74
11.28,22.56,5.15,5.04,5.26,30.52,-14.83,-15.38,30.42,0.64,0.10,28.33,28.43,-11.08,-11.72,7.89,7.71,7.69,7.51
10.71,21.43,4.74,4.66,4.81,30.52,-14.83,-15.38,30.42,0.64,0.10,28.55,28.65,-10.52,-11.15,7.56,7.40,7.37,7.20
9.13,18.27,4.30,4.18,4.42,30.52,-14.83,-15.38,30.42,0.64,0.10,29.08,29.18,-8.93,-9.56,6.61,6.46,6.44,6.29
8.23,16.46,3.83,3.76,3.89,30.52,-14.83,-15.38,30.42,0.64,0.10,29.35,29.45,-8.01,-8.64,6.02,5.89,5.87,5.73
7.40,14.81,3.51,3.44,3.58,30.52,-14.83,-15.38,30.42,0.64,0.10,29.57,29.67,-7.16,-7.80,5.47,5.35,5.34,5.21
6.67,13.34,3.02,2.97,3.07,30.52,-14.83,-15.38,30.42,0.64,0.10,29.74,29.84,-6.40,-7.03,4.97,4.86,4.84,4.73
5.14,10.29,2.67,2.60,2.74,30.52,-14.83,-15.38,30.42,0.64,0.10,30.04,30.14,-4.81,-5.44,3.88,3.80,3.78,3.69
4.31,8.63,2.20,2.13,2.27,30.52,-14.83,-15.38,30.42,0.64,0.10,30.17,30.27,-3.94,-4.57,3.27,3.20,3.19,3.12
3.50,7.00,1.72,1.61,1.83,30.52,-14.83,-15.38,30.42,0.64,0.10,30.27,30.37,-3.08,-3.71,2.67,2.61,2.60,2.54
