T_min,T_avg,T_max,Angle
-9.32,-9.24,-9.16,-21.48
-9.01,-8.9,-8.78,-20.85
-8.88,-8.64,-8.4,-18.83
-8.42,-8.26,-8.09,-17.96
-8.05,-7.95,-7.85,-17.39
-7.61,-7.41,-7.2,-16.82
-7.19,-7.04,-6.89,-16.33
-6.82,-6.72,-6.62,-15.44
-6.38,-6.28,-6.18,-14.24
-6.09,-5.92,-5.74,-13.74
-5.61,-5.54,-5.47,-13.11
-5.11,-4.99,-4.87,-12.11
-4.73,-4.66,-4.58,-10.72
-4.35,-4.21,-4.07,-10.05
-3.82,-3.7,-3.58,-8.53
-3.47,-3.4,-3.32,-8.05
-3.05,-2.91,-2.77,-6.8
-2.65,-2.56,-2.47,-5.93
-2.29,-2.2,-2.11,-5.14
-1.82,-1.74,-1.65,-4.14
-1.33,-1.28,-1.22,-3.1
-0.91,-0.76,-0.6,-2.47
-0.58,-0.34,-0.09,-1.5
0,0,0,0
0.33,0.6,0.86,1.37
0.8,0.92,1.04,2.7
1.19,1.31,1.43,4.35
1.61,1.72,1.83,5.5
2.13,2.2,2.27,6.31
2.6,2.67,2.74,7.14
2.97,3.02,3.07,8.67
3.44,3.51,3.58,9.4
3.76,3.83,3.89,10.23
4.18,4.3,4.42,11.13
4.66,4.74,4.81,12.71
5.04,5.15,5.26,13.28
5.43,5.53,5.62,13.72
5.87,5.97,6.07,14.33
6.24,6.34,6.45,15.37
6.57,6.72,6.87,16.35
6.98,7.15,7.32,16.86
7.32,7.54,7.76,17.33
7.8,7.95,8.1,17.76
8.38,8.49,8.59,18.53
8.68,8.77,8.86,21.18
8.87,9.01,9.14,21.7
