ang_rot_mes_mech,ang_rot_mes_electric,Tavg_mes [Nm],Tmin_mes [Nm],Tmax_mes [Nm],iU_mes [A],iV_mes [A],iW_mes [A],ia [A],ib [A],i0 [A],id [A],id_comp [A],iq [A],iq_comp [A],Torque_50Hz_Cu [Nm],Torque_100Hz_Cu [Nm],Torque_50Hz_Al [Nm],Torque_100Hz_Al [Nm]
20.20,40.41,4.62,4.51,4.73,20.82,-10.14,-10.40,20.72,0.30,0.10,15.97,16.07,-13.20,-13.50,3.85,3.77,3.76,3.67
20.08,40.16,4.59,4.47,4.70,20.82,-10.14,-10.40,20.72,0.30,0.10,16.03,16.13,-13.13,-13.43,3.84,3.76,3.75,3.66
19.90,39.79,4.49,4.35,4.63,20.82,-10.14,-10.40,20.72,0.30,0.10,16.11,16.21,-13.03,-13.33,3.84,3.75,3.74,3.65
16.53,33.05,4.23,4.15,4.31,20.82,-10.14,-10.40,20.72,0.30,0.10,17.53,17.63,-11.05,-11.35,3.55,3.47,3.46,3.38
16.10,32.21,4.08,3.98,4.18,20.82,-10.14,-10.40,20.72,0.30,0.10,17.69,17.79,-10.79,-11.09,3.50,3.42,3.41,3.33
15.51,31.01,3.84,3.75,3.93,20.82,-10.14,-10.40,20.72,0.30,0.10,17.91,18.01,-10.42,-10.72,3.43,3.35,3.34,3.26
14.95,29.89,3.63,3.49,3.77,20.82,-10.14,-10.40,20.72,0.30,0.10,18.11,18.21,-10.07,-10.37,3.35,3.28,3.27,3.19
13.69,27.37,3.44,3.37,3.50,20.82,-10.14,-10.40,20.72,0.30,0.10,18.54,18.63,-9.26,-9.56,3.16,3.09,3.08,3.01
12.79,25.59,3.30,3.22,3.37,20.82,-10.14,-10.40,20.72,0.30,0.10,18.82,18.91,-8.68,-8.98,3.01,2.95,2.94,2.87
12.31,24.63,3.01,2.90,3.12,20.82,-10.14,-10.40,20.72,0.30,0.10,18.96,19.06,-8.36,-8.66,2.93,2.87,2.86,2.79
11.88,23.75,2.82,2.78,2.85,20.82,-10.14,-10.40,20.72,0.30,0.10,19.09,19.18,-8.07,-8.37,2.85,2.79,2.78,2.71
11.41,22.82,2.56,2.48,2.63,20.82,-10.14,-10.40,20.72,0.30,0.10,19.22,19.31,-7.76,-8.06,2.76,2.70,2.69,2.63
9.95,19.90,2.47,2.34,2.59,20.82,-10.14,-10.40,20.72,0.30,0.10,19.59,19.68,-6.77,-7.07,2.47,2.42,2.41,2.35
8.95,17.90,2.19,2.12,2.25,20.82,-10.14,-10.40,20.72,0.30,0.10,19.81,19.91,-6.08,-6.38,2.25,2.21,2.20,2.15
8.24,16.48,1.96,1.86,2.06,20.82,-10.14,-10.40,20.72,0.30,0.10,19.96,20.05,-5.59,-5.89,2.10,2.05,2.04,2.00
7.48,14.95,1.76,1.65,1.86,20.82,-10.14,-10.40,20.72,0.30,0.10,20.10,20.19,-5.05,-5.36,1.92,1.88,1.87,1.83
6.14,12.29,1.49,1.37,1.60,20.82,-10.14,-10.40,20.72,0.30,0.10,20.31,20.41,-4.12,-4.42,1.60,1.56,1.56,1.52
5.39,10.79,1.35,1.27,1.42,20.82,-10.14,-10.40,20.72,0.30,0.10,20.41,20.51,-3.58,-3.88,1.41,1.38,1.38,1.35
4.77,9.55,1.16,1.08,1.24,20.82,-10.14,-10.40,20.72,0.30,0.10,20.48,20.58,-3.14,-3.44,1.26,1.23,1.23,1.20
4.02,8.05,0.91,0.77,1.04,20.82,-10.14,-10.40,20.72,0.30,0.10,20.56,20.65,-2.60,-2.90,1.06,1.04,1.04,1.01
3.04,6.09,0.60,0.42,0.77,20.82,-10.14,-10.40,20.72,0.30,0.10,20.64,20.73,-1.90,-2.20,0.81,0.79,0.79,0.77
1.88,3.76,0.44,0.33,0.54,20.82,-10.14,-10.40,20.72,0.30,0.10,20.70,20.79,-1.06,-1.36,0.50,0.49,0.49,0.48
0.72,1.45,0.40,0.30,0.50,20.82,-10.14,-10.40,20.72,0.30,0.10,20.72,20.82,-0.22,-0.52,0.19,0.19,0.19,0.18
0.00,0.00,0.00,0.00,0.00,20.82,-10.14,-10.40,20.72,0.30,0.10,20.72,20.82,0.30,0.00,0.00,0.00,0.00,0.00
-0.66,-1.31,-0.04,-0.06,-0.01,20.82,-10.14,-10.40,20.72,0.30,0.10,20.71,20.80,0.78,0.47,-0.18,-0.17,-0.17,-0.17
-1.87,-3.74,-0.47,-0.63,-0.31,20.82,-10.14,-10.40,20.72,0.30,0.10,20.66,20.75,1.65,1.35,-0.50,-0.49,-0.49,-0.47
-2.66,-5.32,-0.705,-0.79,-0.62,20.82,-10.14,-10.40,20.72,0.30,0.10,20.60,20.70,2.22,1.92,-0.71,-0.69,-0.69,-0.67
-3.41,-6.83,-0.825,-0.96,-0.69,20.82,-10.14,-10.40,20.72,0.30,0.10,20.54,20.63,2.76,2.46,-0.90,-0.88,-0.88,-0.86
-4.52,-9.04,-1.205,-1.29,-1.12,20.82,-10.14,-10.40,20.72,0.30,0.10,20.42,20.51,3.55,3.25,-1.18,-1.16,-1.15,-1.13
-5.12,-10.24,-1.355,-1.44,-1.27,20.82,-10.14,-10.40,20.72,0.30,0.10,20.34,20.43,3.98,3.68,-1.33,-1.30,-1.30,-1.27
-5.96,-11.92,-1.515,-1.66,-1.37,20.82,-10.14,-10.40,20.72,0.30,0.10,20.21,20.31,4.57,4.27,-1.54,-1.51,-1.50,-1.47
-7.03,-14.07,-1.745,-1.87,-1.62,20.82,-10.14,-10.40,20.72,0.30,0.10,20.03,20.12,5.33,5.03,-1.80,-1.76,-1.75,-1.71
-8.04,-16.08,-2.05,-2.13,-1.97,20.82,-10.14,-10.40,20.72,0.30,0.10,19.83,19.92,6.03,5.73,-2.03,-1.98,-1.98,-1.93
-8.88,-17.76,-2.225,-2.3,-2.15,20.82,-10.14,-10.40,20.72,0.30,0.10,19.64,19.74,6.61,6.31,-2.21,-2.16,-2.15,-2.10
-9.55,-19.10,-2.395,-2.54,-2.25,20.82,-10.14,-10.40,20.72,0.30,0.10,19.48,19.58,7.06,6.76,-2.35,-2.30,-2.29,-2.24
-10.40,-20.80,-2.575,-2.63,-2.52,20.82,-10.14,-10.40,20.72,0.30,0.10,19.26,19.36,7.64,7.34,-2.52,-2.47,-2.46,-2.40
-11.31,-22.62,-2.81,-2.93,-2.69,20.82,-10.14,-10.40,20.72,0.30,0.10,19.01,19.11,8.25,7.95,-2.69,-2.64,-2.63,-2.57
-12.22,-24.44,-2.92,-3,-2.84,20.82,-10.14,-10.40,20.72,0.30,0.10,18.74,18.83,8.85,8.55,-2.86,-2.79,-2.79,-2.72
-12.75,-25.49,-3.2,-3.3,-3.1,20.82,-10.14,-10.40,20.72,0.30,0.10,18.57,18.67,9.19,8.89,-2.95,-2.88,-2.87,-2.80
-13.29,-26.58,-3.425,-3.52,-3.33,20.82,-10.14,-10.40,20.72,0.30,0.10,18.40,18.49,9.54,9.24,-3.03,-2.97,-2.96,-2.89
-14.17,-28.34,-3.62,-3.71,-3.53,20.82,-10.14,-10.40,20.72,0.30,0.10,18.10,18.19,10.10,9.80,-3.16,-3.09,-3.08,-3.01
-15.26,-30.52,-3.8,-3.88,-3.72,20.82,-10.14,-10.40,20.72,0.30,0.10,17.70,17.79,10.78,10.48,-3.31,-3.24,-3.23,-3.15
-15.82,-31.63,-4.065,-4.2,-3.93,20.82,-10.14,-10.40,20.72,0.30,0.10,17.48,17.58,11.12,10.82,-3.38,-3.30,-3.29,-3.21
-16.21,-32.41,-4.195,-4.28,-4.11,20.82,-10.14,-10.40,20.72,0.30,0.10,17.33,17.43,11.36,11.06,-3.42,-3.35,-3.34,-3.26
-16.80,-33.60,-4.37,-4.49,-4.25,20.82,-10.14,-10.40,20.72,0.30,0.10,17.09,17.19,11.72,11.42,-3.48,-3.41,-3.40,-3.32
-17.16,-34.33,-4.435,-4.55,-4.32,20.82,-10.14,-10.40,20.72,0.30,0.10,16.94,17.04,11.93,11.63,-3.52,-3.44,-3.43,-3.35
-19.19,-38.39,-4.475,-4.6,-4.35,20.82,-10.14,-10.40,20.72,0.30,0.10,16.05,16.15,13.10,12.80,-3.67,-3.59,-3.58,-3.49
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
