nr.,position,inductance [mH],inductance_comp [mH],Ld,Lq
1,35,13.478,8.99,0.0079225,0.0021535
2,30,12.636,8.42,,
3,25,11.02,7.35,,
4,20,9.052,6.03,,
5,15,7.004,4.67,,
6,10,5.418,3.61,,
7,5,4.606,3.07,,
8,0,4.307,2.87,,
9,-5,4.723,3.15,,
10,-10,5.953,3.97,,
11,-15,7.463,4.98,,
12,-20,9.405,6.27,,
13,-25,11.13,7.42,,
14,-30,12.833,8.56,,
15,-35,14.372,9.58,,
16,-40,15.374,10.25,,
17,-45,15.428,10.29,,
18,-50,14.766,9.84,,
19,-55,13.398,8.93,,
20,-60,12.23,8.15,,
21,-65,10.119,6.75,,
22,-70,8.384,5.59,,
23,-75,6.836,4.56,,
24,-80,5.3,3.53,,
25,-85,4.572,3.05,,
26,-90,4.353,2.9,,
27,-95,4.662,3.11,,
28,-100,5.882,3.92,,
29,-105,7.318,4.88,,
30,-110,9.074,6.05,,
31,-115,10.831,7.22,,
32,-120,12.656,8.44,,
33,-125,14.186,9.46,,
34,-130,15.283,10.19,,
35,-135,15.841,10.56,,
36,-140,15.411,10.27,,
37,-145,14.096,9.4,,
38,-150,12.426,8.28,,
39,-155,10.79,7.19,,
40,-160,8.885,5.92,,
41,-165,7.24,4.83,,
42,-170,5.943,3.96,,
43,-175,4.318,2.88,,
44,-180,4.58,3.05,,
45,-185,5.658,3.77,,
46,-190,7.197,4.8,,
47,-195,8.692,5.79,,
48,-200,10.275,6.85,,
49,-205,11.959,7.97,,
50,-210,13.697,9.13,,
51,-215,15,10,,
52,-220,15.81,10.54,,
53,-225,15.494,10.33,,
54,-230,14.494,9.66,,
55,-235,12.902,8.6,,
56,-240,11.356,7.57,,
57,-245,9.265,6.18,,
58,-250,7.736,5.16,,
59,-255,6.092,4.06,,
60,-260,4.883,3.26,,
61,-265,4.352,2.9,,
62,-270,4.56,3.04,,
63,-275,5.289,3.53,,
64,-280,6.692,4.46,,
65,-285,9.216,6.14,,
66,-290,10.889,7.26,,
67,-295,12.167,8.11,,
68,-300,13.8,9.2,,
69,-305,14.954,9.97,,
70,-310,15.845,10.56,,
71,-315,15.474,10.32,,
72,-320,14.267,9.51,,
