ang_rot_mes_mech,ang_rot_mes_electric,Tavg_mes [Nm],Tmin_mes [Nm],Tmax_mes [Nm],iU_mes [A],iV_mes [A],iW_mes [A],ia [A],ib [A],i0 [A],id [A],id_comp [A],iq [A],iq_comp [A],Torque_50Hz_Cu [Nm],Torque_100Hz_Cu [Nm],Torque_50Hz_Al [Nm],Torque_100Hz_Al [Nm]
-17.39,-34.77,-7.95,-8.05,-7.85,30.52,-14.83,-15.38,30.42,0.64,0.10,24.62,24.72,17.87,17.23,-7.56,-7.40,-7.37,-7.20
-17.96,-35.91,-8.26,-8.42,-8.09,30.52,-14.83,-15.38,30.42,0.64,0.10,24.26,24.36,18.35,17.72,-7.66,-7.49,-7.47,-7.29
-18.83,-37.66,-8.64,-8.88,-8.4,30.52,-14.83,-15.38,30.42,0.64,0.10,23.69,23.79,19.09,18.45,-7.79,-7.62,-7.60,-7.42
-20.85,-41.69,-8.90,-9.01,-8.78,30.52,-14.83,-15.38,30.42,0.64,0.10,22.29,22.39,20.71,20.07,-7.98,-7.80,-7.78,-7.59
-21.48,-42.96,-9.24,-9.32,-9.16,30.52,-14.83,-15.38,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
