nr.,position,inductance [mH],inductance_comp [mH],Ld,Lq
1,265,4.913,3.28,0.0081665,0.0022505
2,260,5.756,3.84,,
3,255,7.014,4.68,,
4,250,8.81,5.87,,
5,245,10.1703,6.78,,
6,240,12.438,8.29,,
7,235,13.88,9.25,,
8,230,15.093,10.06,,
9,225,16.262,10.84,,
10,220,15.721,10.48,,
11,215,14.767,9.84,,
12,210,13.52,9.01,,
13,205,11.854,7.90,,
14,200,10.11,6.74,,
15,195,8.058,5.37,,
16,190,6.198,4.13,,
17,185,5.035,3.36,,
18,180,4.501,3.00,,
19,175,4.864,3.24,,
20,170,5.647,3.76,,
21,165,7.656,5.10,,
22,160,9.556,6.37,,
23,155,11.555,7.70,,
24,150,13.099,8.73,,
25,145,14.512,9.67,,
26,140,15.903,10.60,,
27,135,16.049,10.70,,
28,130,15.541,10.36,,
29,125,14.653,9.77,,
30,120,12.618,8.41,,
31,115,11.104,7.40,,
32,110,9.136,6.09,,
33,105,7.336,4.89,,
34,100,5.744,3.83,,
35,95,4.874,3.25,,
36,90,4.53,3.02,,
37,85,5.143,3.43,,
38,80,6.288,4.19,,
39,75,7.65,5.10,,
40,70,9.311,6.21,,
41,65,11.326,7.55,,
42,60,12.882,8.59,,
43,55,14.309,9.54,,
44,50,15.666,10.44,,
45,45,16.333,10.89,,
46,40,15.916,10.61,,
47,35,14.444,9.63,,
48,30,13.133,8.76,,
49,25,11.374,7.58,,
50,20,9.487,6.32,,
51,15,7.994,5.33,,
52,10,6.258,4.17,,
53,5,5.043,3.36,,
54,0,4.51,3.01,,
55,-5,4.71,3.14,,
56,-10,5.634,3.76,,
57,-15,7.11,4.74,,
58,-20,9.067,6.04,,
59,-25,10.676,7.12,,
60,-30,12.709,8.47,,
61,-35,13.93,9.29,,
62,-40,15.64,10.43,,
63,-45,16.285,10.86,,
64,-50,15.971,10.65,,
65,-55,15.117,10.08,,
66,-60,13.322,8.88,,
67,-65,11.86,7.91,,
68,-70,9.896,6.60,,
69,-75,8.015,5.34,,
70,-80,6.381,4.25,,
71,-85,5.208,3.47,,
72,-90,4.527,3.02,,
