ang_rot_mes_mech,ang_rot_mes_electric,Tavg_mes [Nm],Tmin_mes [Nm],Tmax_mes [Nm],iU_mes [A],iV_mes [A],iW_mes [A],ia [A],ib [A],i0 [A],id [A],id_comp [A],iq [A],iq_comp [A],Torque_50Hz_Cu [Nm],Torque_100Hz_Cu [Nm],Torque_50Hz_Al [Nm],Torque_100Hz_Al [Nm]
21.61,43.21,2.61,2.88,2.75,15.42,-8.08,-7.60,15.51,-0.56,-0.09,14.21,14.13,-11.02,-10.47,2.62,2.57,2.56,2.50
20.90,41.79,2.55,2.80,2.68,15.42,-8.08,-7.60,15.51,-0.56,-0.09,14.29,14.20,-10.75,-10.19,2.57,2.51,2.51,2.45
17.62,35.23,2.42,2.68,2.55,15.42,-8.08,-7.60,15.51,-0.56,-0.09,14.61,14.53,-9.40,-8.84,2.28,2.23,2.22,2.17
17.16,34.32,2.42,2.60,2.51,15.42,-8.08,-7.60,15.51,-0.56,-0.09,14.65,14.57,-9.20,-8.65,2.24,2.19,2.18,2.13
16.85,33.71,2.23,2.42,2.33,15.42,-8.08,-7.60,15.51,-0.56,-0.09,14.68,14.59,-9.07,-8.51,2.20,2.16,2.15,2.10
16.39,32.78,2.09,2.34,2.22,15.42,-8.08,-7.60,15.51,-0.56,-0.09,14.72,14.63,-8.87,-8.31,2.16,2.11,2.10,2.05
15.91,31.82,2.06,2.25,2.16,15.42,-8.08,-7.60,15.51,-0.56,-0.09,14.76,14.67,-8.65,-8.09,2.11,2.06,2.06,2.01
14.61,29.22,1.95,2.14,2.05,15.42,-8.08,-7.60,15.51,-0.56,-0.09,14.87,14.78,-8.06,-7.50,1.97,1.92,1.92,1.87
13.68,27.36,1.94,2.08,2.01,15.42,-8.08,-7.60,15.51,-0.56,-0.09,14.94,14.85,-7.62,-7.06,1.86,1.82,1.82,1.77
13.21,26.41,1.79,1.94,1.87,15.42,-8.08,-7.60,15.51,-0.56,-0.09,14.97,14.88,-7.40,-6.84,1.81,1.77,1.76,1.72
12.81,25.62,1.56,1.77,1.67,15.42,-8.08,-7.60,15.51,-0.56,-0.09,15.00,14.91,-7.21,-6.65,1.76,1.72,1.72,1.68
12.46,24.92,1.46,1.77,1.62,15.42,-8.08,-7.60,15.51,-0.56,-0.09,15.02,14.94,-7.04,-6.48,1.72,1.68,1.68,1.64
11.79,23.59,1.39,1.54,1.47,15.42,-8.08,-7.60,15.51,-0.56,-0.09,15.07,14.98,-6.72,-6.16,1.64,1.60,1.60,1.56
10.28,20.56,1.32,1.46,1.39,15.42,-8.08,-7.60,15.51,-0.56,-0.09,15.16,15.07,-5.97,-5.41,1.45,1.42,1.41,1.38
9.30,18.60,1.14,1.41,1.28,15.42,-8.08,-7.60,15.51,-0.56,-0.09,15.22,15.13,-5.48,-4.92,1.32,1.29,1.29,1.26
